NameKlinik,Titel,DatumBewertung,Fachbereich,Erfahrungsbericht,Gesamtzufriedenheit,QualitätBeratung,MedizBehandlung,VerwaltungAblaeufe
Klinik Am Zuckerberg,Erfahrungsbericht,30.03.2018,Gefäßchirurgie,"Ich wurde durch den Chefarzt an den Krampfadern operiert.
Ich bin sehr zufrieden und sehr beeindruckt von dem Einsatz, den er tagtäglich mit guter Laune und Leidenschaft für seine Patienten erbringt. Er ist von morgens bis abends im Einsatz und kommt sogar am Wochenende persönlich zu seinen Patienten.
Ich fühlte mich bestens betreut.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Die Klinik am Zuckerberg ist die beste Klinik die ich kenne,03.03.2018,Gefäßchirurgie,"Ich hatte das große Glück solch einen großartigen Operateur wie den Chefarzt kennenzulernen, bei dem ich schon mehrfach Patientin war. Mit dem operativen Ergebnis bin ich wieder äußerst zufrieden, die kleinsten Schnitte waren jedes Mal rasch verheilt. Auch die Nachsorge übernahm er selbst, so dass ich mich wie immer sehr gut aufgehoben und in besten Händen fühlte. Befreit von Krampfadern und Schmerzen bin ich überaus glücklich und sehr dankbar. Mein Dank geht auch an alle Mitarbeiter dieser Klinik. Die Klinik am Zuckerberg erhält von mir die Bewertung: Sehr gut!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,OP zwecks Venenprobleme,21.02.2018,Gefäßchirurgie,"Ich war das erste Mal hier und empfand sofort eine Sympathie für seine herzliche und verbindliche Art; er nahm sich viel Zeit für mein Anliegen und behandelte mich kompetent und stets mit einer ordentlichen Prise ""Menschlichkeit"".

In anderen Kliniken erlebte ich schon andere böse Überraschungen - was hier NICHT der Fall war.

Während des gesamten staionären Aufenthaltes fühlte ich mich bestens von meinem Arzt betreut und auch wirklich ernst genommen in meinen Belangen.

Sogar die Nachbetreuung übernahm er selbst und reichte mich nihct an andere weiter zwecks Behandlung, wie dies in anderen Kliniken leider oft der Fall ist.

Und auch mit dem Ergebnis seiner arbeit bin ich sehr zufrieden - diese kann sich sehen lassen.

Und das Pflegepersonal nihct zu vergessen: hier empfand ich diese Prise Menschlichkeit ebenfalls.

Ich kann diese Klinik nur weiterempfehlen.

In diesem Sinne: DANKE",star-4,star-6,star-6,star-6
Klinik Am Zuckerberg,Chefarzt,14.02.2018,Gefäßchirurgie,"Schon bei der Aufnahme zur Operation überzeugte mich die familiäre Atmosphäre die der Chefarzt der Klinik am Zuckerberg durch seine ruhige, erfahrene und liebevolle Art ausstrahlt.
Auch die Operation selbst verlief vollkommen problemlos und das Ergebnis ist bestens, nicht nur medizinisch sondern auch Kosmetisch.
Auch bei der Nachsorge, die von dem Chefarzt selbst erfolgte, fühlte ich mich wieder gut aufgehoben.
Obwohl der Chefarzt bekannt dafür ist, dass er rund um die Uhr für seine Klinik da ist, strahlt er immer Ruhe aus.
Er ist ein äußerst einfühlsamer und vertrauensvoller Arzt.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Krampfadern,11.02.2018,Gefäßchirurgie,"Bei mir wurde in der Klinik am Zuckerberg die Hauptvene gezogen. Behandelt wurde ich vom Chefarzt, welcher mir alles genau erklärt und sich, entsprechend seines Rufes, viel Zeit für mich genommen hatte. Ich fühlte mich sofort gut aufgehoben und kann anderen Patienten die Angst vor dieser Operation nehmen. Das Ergebnis ist klasse und ich bin sehr zufrieden. Diesen Arzt kann ich deshalb nur wärmstens empfehlen. Besonders möchte ich noch betonen, dass der Chefarzt auch die komplette Nachsorge selbst durchgeführt hat, was einem das Gefühl der Sicherheit gibt.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Erfahrungsbericht,04.02.2018,Gefäßchirurgie,"Ich war schon mehrfach Patientin beim Chefarzt.
Auch diesmal empfand ich wieder die familiäre Atmosphäre des Hauses,die er und seine Frau ausstrahlen.
Er ist ein sehr kompetenter, einfühlsamer und geduldiger Arzt und er ist immer für mich da !
Ich komme immer gern wieder,auch zur Nachsorge, die von ihm persönlich durchgeführt wird.
Ein Lob auch an die Küche für das reichhaltige Essen !",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Tolle ärztliche Betreuung !!!,16.01.2018,Gefäßchirurgie,"Ich wurde von einer Bekannten auf die Zuckerberg Klinik aufmerksam gemacht. Ich habe daraufhin einen ersten Beratungstermin telefonisch vereinbart. Der Chefarzt hat mich vor untersucht. Während der Untersuchung hat er sich für meine aufkomenden Fragen und Anmerkungen ausreichend genügend Zeit genommen und mir alle Operationsmöglichkeiten ausführlich und sehr verständlich erklärt und eingehend beraten.
Die Operationsvorbereitung und die Nachbehandlung verliefen zu meiner vollsten Zufriedenheit. Das OP
Ergebnis hat mich überzeugt. Die Nachsorge nach der Entlassung ( Freitag früh wurde operiert und am Sonntag Vormittag wurde ich entlassen), wurde vom Chef selbst übernommen. Bei der Betreuung habe mich stets außerordentlich wohl gefühlt.

Ich kann diese Klinik nur weiter empfehlen !!!
Kompliment auch an die tolle Küche - Man hat hier das Gefühl, man ist in einem Hotel untergebracht.
Zum Frühstück und Abendessen wird hier im Klinik
eigenen Restaurant eine tolles und abwechselungreiches Buffet angeboten.",star-6,star-6,star-6,star-4
Klinik Am Zuckerberg,Sehr zufrieden mit der Klinik,07.12.2017,Plastische Chirurgie,"Ich war über einen Belegarzt zur Brustvergrößerung in der Klinik. Das Erscheinungsbild ist von außen und innen sehr ansprechend, die Zimmer eher wie in einem einfachen Hotel als in einem Krankenhaus, elektrische Betten, Flachbild-tv in einer guten Größe gegen Gebühr, WLAN kostenfrei, kleines Bad mit Dusche, alles sauber und ordentlich. Es gibt 3 Bett-zimmer, gegen Zuzahlung auch 2 Bett- und Einzelzimmer.
Über das Essen kann ich nicht viel sagen, da ich nur gefrühstückt habe und das Frühstück war schön angerichtet und hat gut geschmeckt. Nachmittags wurden verschiedene Säfte und Obst verteilt.

Die Krankenschwestern der Klinik sind im Durchschnitt noch jung, ich schätze Anfang / Mitte 20 und wirken absolut kompetent, waren immer freundlich und zuvorkommend, sind auf meine Fragen eingegangen. Durch meine starken Schmerzen brauchte ich doch ab und zu die Hilfe der Schwestern und kann da nur ein großes Lob abgeben; hilfsbereit und einfühlsam :-)

Zu der Klinik kann ich im Großen und Ganzes nichts Negatives sagen. Der Arzt hat damit ja nichts zu tun ;)",star-6,star-4,star-2,star-4
Klinik Am Zuckerberg,Gutes Konzept,01.12.2017,Gefäßchirurgie,"Sehr schnelle und unkomplizierte Aufnahme.
Chefarzt sehr nett und gute Aufklärung.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Fühle mich verarscht,06.07.2017,Plastische Chirurgie,"Guten Tag

Ich hatte eine Bauchdeckenstraffung in der Klinik. War von Freitag 7 Uhr morgens bis anschlisslich Samstag kurz vor 11 Uhr entlassen....habe jetzt ingesamt eine Rechnung von kanpp 400€ bezahlt... was ich selber als REINE abzocke finde. Die die Kosten für Schmerztabbletten / kühl Kissen / Schwestern (die nur kommen wenn du sie anrufst) beträgt 175 Euro ein einzeln Zimmer von Freitag auf Samstag 200€ Es war die räde von 100 € pro Tag da Samstag wohl die Klinik als 2 Tag mit zählt( total absurd) hat es mich jetzt 200€ gekostet... es wurde an der Rezeption NICHT drauf hingewiesen...mir geht es da nicht wirklich ums Geld... ich fühle mich auf deutsch gesagt sehr verarscht und werde es natürlich von meinem Anwalt prüfen lassen...

Denke vielen wird die Info hilfreich sein

LG",star-2,star-4,star-4,star-2
Klinik Am Zuckerberg,Sehr zufrieden,21.05.2017,Frauen,"Ich bin sehr zufrieden.
Meine Frauenärztin ist hier sogenannte ""Belegärztin"". Ich konnte mir zur OP also die Klinik nicht aussuchen. Ein Glücksfall, denn so eine Klinik ist was ganz anderes als ein normales Krankenhaus. Personal immer freundlich, egal wie oft man sie angerufen hat. Zimmerausstattung nicht so ""klinisch"". Man fühlt sich hier besser aufgehoben. Das Essen ist auf jeden Fall empfehlenswert. Besonders Frühstück und Abendessen. Negativ war allerdings der sehr schlechte W-LAN-Empfang und die zu kleinen Abfallbehälter.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,positiv und sehr zu empfehlen!,09.05.2017,Plastische Chirurgie,"Hallo zusammen,

ich habe mir (nach Empfehlung aus dem Bekanntenkreis) die Brüste vergrößern lassen.

Nach einem sehr angenehmen ersten Gespräch habe ich mich für den Eingriff bei Dr. Flietner entschieden und bin bis jetzt vollkommen zufrieden.

Meinen OP Termin hatte ich Ende März. Einen Abend vor der OP erfolgte die stationäre Aufnahme, sowie ein weiteres Gespräch mit Dr. Flietner und dem Anästhesist. Meine (erste)OP lief zum Glück vollig reibungslos und ich war kurz darauf bereits putzmunter und habe Mittag essen können.

Die einzigen Schmerzen die ich während meines Aufenthalts hatte, waren Rückenschmerzen vom Liegen in der ersten Nacht nach der OP.

Die Betreuung durch das gesamten Teams in der Zuckerberg Klinik war hervorragend und deshalb ist meine Bewertung aus durchweg positiv.

Mein Aufenthalt dauerte insgesamt 3 Tage (jeden Abend kam der Herr Doktor noch mal zur Kontrolle ins Zimmer) und am Entlassungstag wurde mir von einer Schwester der Verband abgenommen. Diese zog mir auch gleich meinen Sport BH an, so das meine Brüste einen idealen Halt bekamen. Dr. Flietner sah sich das Ergebnis selbstverständlich auch noch einmal an und sprach den weiteren Verlauf mit mir durch.

Nach zwei Wochen hatte ich meine Nachuntersuchung, dort wurden meine letzten Verbände entfernt und ich habe einige Pflegeprodukte für die Brüste/Narben mitbekommen.
Von dort an durfte ich den Sport BH zum Duschen abnehmen.

In zwei Wochen habe ich meine nächste Untersuchung, ab dann werde ich wohl wieder normale BH's tragen dürfen.",star-6,star-6,star-6,star-4
Klinik Am Zuckerberg,In allen Bereichen nur positiv überrascht,12.04.2017,Gefäßchirurgie,"Ich hatte viel zu lange mit dem Eingriff einer Varizenoperation gewartet. Jetzt wurde ich in jeder Hinsicht positiv überrascht. Der Chefarzt in der Klinik am Zuckerberg, hat mich sofort mit seiner kompetenten und empathischen Art überzeugt. Die Aufklärung war sehr ausführlich und verständlich, so dass ich gleich Vertrauen fasste und mich für den Eingriff anmeldete. Ich wurde nicht enttäuscht. Der stationäre Aufenthalt verlief zu meiner vollsten Zufriedenheit. Die Operation war problemlos, das kosmetische Ergebnis hervorragend und die befürchteten Schmerzen traten nicht auf. Trotz des straffen OP-Plans nahm er sich sehr viel Zeit für seine Visiten und kam sogar noch spät abends, um sich nach meinem Befinden zu erkundigen. Er ist ein Arzt mit Herzblut, der sich auch noch nach der Operation von früh morgens bis spät am Abend intensiv um seine Patienten kümmert und für diese erreichbar ist.
Das übrige Personal ist ausnahmelos sehr freundlich und hilfsbereit und versteht es gut, für ein entspanntes Klima zu sorgen.
Nach der OP wird das Essen ins Zimmer gebracht, später kann man selbst zum leckeren Buffet in das Restaurant gehen, um sich zu bedienen.
Durch die optimale ärztliche Behandlung des Chefarztes und das hotelähnliche Umfeld fühlt man sich ausgezeichnet aufgehoben und betreut.
Bei soviel Engagement eines Chefarztes komme ich gerne und diesmal ohne Ängste wieder zu einer weiteren Operation an meinem anderen Bein.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Kompetenz groß geschrieben,18.03.2017,Gefäßchirurgie,"Ich war bereits im vorherigen Jahr Patientin hier.
Die gesamte Behandlung war in meinen Augen PERFEKT und ich bin im März 2017 gerne zum zweiten Mal wiedergekommen. Auch dieses mal wurde ich nicht enttäuscht.
Der Chefarzt hat sich erneut sehr viel Zeit genommen und alle meine Fragen beantwortet.
Das kosmetische Ergebnis mit kleinsten Schnitten und ohne Schmerzen kann ich nur weiterempfehlen. An meinem linken Bein, das letztes Jahr operiert wurde sieht man absolut nichts mehr.
Der Ruf, der dem Operateur vorauseilt, kann ich nur bestätigen.
Ein Chefarzt mit viel Können und viel Herz.
Ich freue mich schon auf den Monat Mai wo ich zur Untersuchung gehe.
Ich habe in sehr vielen Krankenhäusern gelegen; so einen tollen Arzt wie diesen hab ich noch nie getroffen.
Er ist eine Bereicherung für diese tolle Klinik.
Mit freundlichen Grüßen
/Braunschweig",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,weniger zufrieden,23.02.2017,Plastische Chirurgie,,star-2,star-0,star-4,star-2
Klinik Am Zuckerberg,Pip Implantate,05.02.2017,Plastische Chirurgie,"Ich wurde von einem nicht plastischen Chirurgen (Belegarzt) an der Brust und den Bauch operiert. Das sagt doch schon viel aus. Die Krönung ist das mir im Jahr 2006 die sogenannten Pip Implantate eingesetzt wurden, ich an schmerzen und und und leide und erst im Jahr 2015 durch ein erneutes gesuchtes Beratungsgespräch, vorbei meine Unterlage herausgesucht wurden und die Briefe die an mich adressiert waren herausfielen, der Arzt diese öffnete und mir eiskalt mitteilte , dass ich fehlerhafte Implantate habe und die so schnell wie möglich entfernt werden müssten ! Jetzt frag ich mich ob das ein schlechter Scherz ist ! Hab mir damals extra die Zuckerberg Klinik ausgesucht, damit ich mir um nichts sorgen machen muss und jetzt sowas ! Unfassbar ..... falscher Arzt , falsche Implantate und so viel Geld was die von mir als privatpatientin erhalten haben ! Mein Traum ..ein Alptraum.... wenigsten weiss ich jetzt warum meine Brust total verformt ist und ich unerträgliche Schmerzen haben.",star-0,star-0,star-0,star-2
Klinik Am Zuckerberg,Keine gute private Klinik,13.01.2017,Plastische Chirurgie,"Die OP-Vorbereitung, die Arbeit des OP-Teams und die Nachbetreuung im Aufwachraum würde ich als sehr gut bewerten. Auch die Küche und das Servicepersonal waren gut. Die Aufnahme war allerdings eher eine Katastrophe. Ich wurde um 7 Uhr morgens von einer sehr gestressten blonden Mitarbeiterin ohne Begrüßung gleich ins Lobby zum Warten geschickt, die konnte sich die Reihenfolge der ankommenden Patienten nicht merken, wirkte aufgesetzt freundlich und ziemlich maulfaul, was die Organisation des Aufenthalts in der Klinik betrifft. Die Abläufe wurden in einem rauen Ton ausgesprochen, was insgesamt keine freundliche Atmosphäre schaffte. Da ich eine Brustvergrösserung machen ließ, gab es einige Schwierigkeiten nach der OP. Den Norfalknopf hat die betreuende Schwester unmittelbar nach der OP auf die Stange über (!!!) dem Bett gehängt, so dass ich die Schwestern mit einem alten Knopftelefon anrufen musste, um nach Schmerzmitteln zu fragen. Abends wurden mir Antibiotika angehängt und ich musste die Schwestern zweimal anrufen, als sie durch waren, weil die Übergabe stattgefunden haben soll und ich schlicht vergessen wurde. Nachts wurde der Notfallknopf ausgeschaltet, also musste man unter höllischen Schmerzen aufstehen und Achtung wieder das Telefon bedienen. Für die Fernsehernutzung musste man 4 Euro pro Tag bezahlen und gleich bei der Aufnahme unterschreiben, um überhaupt erstmal die Fernbedienung gegen 10 Euro Kaution ausgehändigt zu bekommen, was für eine Privatklinik total lächerlich ist.",star-0,star-2,star-4,star-0
